category,foodname,weight,edible,energy,protein,fat,cho,dietaryfiber,ash,cholesterol,vitaminA,retinol,vitaminE,vitaminB1,vitaminB2,vitaminB3,calcium,phosphorous,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,food_id,vitaminC
Meat&Meat Products,Mutton_tripe,100,100,87,12.2,3.4,1.8,0,0.9,124,0,23,0.33,0.03,0.17,1.8,38,133,101,66,16,1.4,2.61,9.68,0.1,0.6,31,0
Meat&Meat Products,Mutton_lung,100,100,96,16.2,2.4,2.5,0,1.2,319,0,0,1.43,0.05,0.14,1.1,12,172,139,146.2,8,7.8,1.81,9.33,0.19,0.05,32,0
Meat&Meat Products,Mutton_liver,100,100,134,17.9,3.6,7.4,0,1.4,349,0,20972,29.93,0.21,1.75,22.1,8,299,241,123,14,7.5,3.45,17.68,4.51,0.26,33,0
Meat&Meat Products,Mutton_kidney,100,95,96,16.6,2.8,1,0,1.4,289,0,126,0.13,0.35,2.01,8.4,8,233,115,193.3,18,5.8,2.74,58.9,0.32,0.1,34,0
Meat&Meat Products,Mutton_heart,100,100,113,13.8,5.5,2,0,1,104,0,16,1.75,0.28,0.4,5.6,10,172,200,100.8,17,4,2.09,16.7,0.26,0.04,35,0
Meat&Meat Products,Mutton_blood,100,100,57,6.8,0.2,6.9,0,1.1,92,0,0,0,0.04,0.09,0.2,22,7,6,443.4,2,18.3,0.67,15.68,0.02,0.01,36,0
Poultry&Poultry Products,Chicken_whole,100,66,167,19.3,9.4,1.3,0,1,106,0,48,0.67,0.05,0.09,5.6,9,156,251,63.3,19,1.4,1.09,11.75,0.07,0.03,37,0
Poultry&Poultry Products,Chicken_leg,100,69,181,16,13,0,0,0.8,162,0,44,0.03,0.02,0.14,6,6,172,242,64.4,34,1.5,1.12,12.4,0.09,0.03,38,0
Poultry&Poultry Products,Chicken_breast,100,100,133,19.4,5,2.5,0,1.1,82,0,16,0.22,0.07,0.13,10.8,3,214,338,34.4,28,0.6,0.51,10.5,0.06,0.01,39,0
Poultry&Poultry Products,Chicken_breast_without skin&bone_frozen_raw,100,100,118,24.6,1.9,0.6,0,1.2,65,0,3,0.41,0.07,0.06,11.96,1,170,333,44.8,28,1,0.26,11.75,0.01,0.01,40,0
Poultry&Poultry Products,Chicken_thigh_frozen_raw,100,74,146,20.2,7.2,0,0,0.9,99,0,22,0,0.06,0.1,3.25,3,271,221,73.6,21,1.8,1.11,9.7,0.01,0.01,41,0
Poultry&Poultry Products,Chicken_heart,100,100,172,15.9,11.8,0.6,0,0.9,194,0,910,0,0.46,0.26,11.5,54,176,220,108.4,11,4.7,1.94,4.1,0.27,0.04,42,0
Poultry&Poultry Products,Chicken_gizzard,100,100,118,19.2,2.8,4,0,0.9,174,0,36,0.87,0.04,0.09,3.4,7,135,272,74.8,15,4.4,2.76,10.54,2.11,0.06,43,0
Poultry&Poultry Products,Chicken_liver,100,100,121,16.6,4.8,2.8,0,1.4,356,0,10414,1.88,0.33,1.1,11.9,7,263,222,92,16,12,2.4,38.55,0.32,0.24,44,0
Poultry&Poultry Products,Chicken_liver_broiler,100,100,121,16.7,4.5,3.5,0,1.3,476,0,2867,0.75,0.32,0.58,0,4,216,321,98.2,17,9.6,3.46,0,0.35,0.07,45,0
Poultry&Poultry Products,Chicken_blood,100,100,49,7.8,0.2,4.1,0,0.9,170,0,56,0.21,0.05,0.04,0.1,10,68,136,208,4,25,0.45,12.13,0.03,0.03,46,0
Poultry&Poultry Products,Duck_whole,100,68,240,15.5,19.7,0.2,0,0.7,97,0,52,0.27,0.08,0.22,4.2,6,122,191,69,14,2.2,1.33,12.25,0.21,0.06,47,0
