category,foodname,weight,edible,energy,protein,fat,cho,dietaryfiber,ash,cholesterol,vitaminA,retinol,vitaminE,vitaminB1,vitaminB2,vitaminB3,calcium,phosphorous,potassium,sodium,magnesium,iron,zinc,selenium,copper,manganese,food_id,vitaminC
leafy_flower vegetables,Kohlrabi leaf,100,78,22,2.8,0.4,2.6,1.6,1,0,575,0,0.96,0.02,0.09,1,128,50,104,50.5,18,2,1.3,0.88,0.11,0.53,135,76
leafy_flower vegetables,Spinach,100,89,28,2.6,0.3,4.5,1.7,1.4,0,487,0,1.74,0.04,0.11,0.6,66,47,311,85.2,58,2.9,0.85,0.97,0.1,0.66,136,32
leafy_flower vegetables,Celery stem_white,100,66,17,0.8,0.1,3.9,1.4,1,0,10,0,2.21,0.01,0.08,0.4,48,50,154,73.8,10,0.8,0.46,0.47,0.09,0.17,137,12
leafy_flower vegetables,Celery stem,100,67,22,1.2,0.2,4.5,1.2,1,0,57,0,1.32,0.02,0.06,0.4,80,38,206,159,18,1.2,0.24,0.57,0.09,0.16,138,8
leafy_flower vegetables,Celery leaf,100,100,35,2.6,0.6,5.9,2.2,1.5,0,488,0,2.5,0.08,0.15,0.9,40,64,137,83,58,0.6,1.14,2,0.99,0.54,139,22
leafy_flower vegetables,Romaine lettuce,100,81,16,1.4,0.4,2.1,0.6,0.4,0,60,0,0,0,0.1,0.2,70,31,100,80,29,1.2,0.43,1.55,0.08,0.15,140,20
leafy_flower vegetables,"""Curl-leafed"" endive lettuce",100,94,15,1.3,0.3,2,0.7,0.6,0,298,0,1.02,0.03,0.06,0.4,34,27,170,32.8,18,0.9,0.27,1.15,0.03,0.13,141,13
leafy_flower vegetables,Amaranth_pale green,100,74,30,2.8,0.3,5,2.2,1.7,0,352,0,0.36,0.03,0.12,0.8,187,59,207,32.4,119,5.4,0.8,0.52,0.13,0.78,142,47
leafy_flower vegetables,Amaranth_purple,100,73,35,2.8,0.4,5.9,1.8,2.1,0,248,0,1.54,0.03,0.1,0.6,178,63,340,42.3,38,2.9,0.7,0.09,0.07,0.35,143,30
leafy_flower vegetables,Chrysanthemum crowndairy_greens,100,82,24,1.9,0.3,3.9,1.2,0.9,0,252,0,0.92,0.04,0.09,0.6,73,36,220,161.3,20,2.5,0.35,0.6,0.06,0.28,144,18
leafy_flower vegetables,Lettuce stem,100,62,15,1,0.1,2.8,0.6,0.6,0,25,0,0.19,0.02,0.02,0.5,23,48,212,36.5,19,0.9,0.33,0.54,0.07,0.19,145,4
leafy_flower vegetables,Lettuce leaf,100,89,20,1.4,0.2,3.6,1,0.6,0,147,0,0.58,0.06,0.1,0.4,34,26,148,39.1,19,1.5,0.51,0.78,0.09,0.26,146,13
leafy_flower vegetables,Warer spinach,100,76,23,2.2,0.3,3.6,1.4,1,0,253,0,1.09,0.03,0.08,0.8,99,38,243,94.3,29,2.3,0.39,1.2,0.1,0.67,147,25
leafy_flower vegetables,Bamboo shoot_whole,100,63,23,2.6,0.2,3.6,1.8,0.8,0,0,0,0.05,0.08,0.08,0.6,9,64,389,0.4,1,0.5,0.33,0.04,0.09,1.14,148,5
leafy_flower vegetables,Spring bamboo whoot,100,66,25,2.4,0.1,5.1,2.8,1,0,5,0,0,0.05,0.04,0.4,8,36,300,6,8,2.4,0.43,0.66,0.15,0.78,149,5
leafy_flower vegetables,Winter bamboo shoot,100,39,42,4.1,0.1,6.5,0.8,1.2,0,13,0,0,0.08,0.08,0.6,22,56,0,0,0,0.1,0,0,0,0,150,1
leafy_flower vegetables,Asparagus,100,90,22,1.4,0.1,4.9,1.9,0.6,0,17,0,0,0.04,0.05,0.7,10,42,213,3.1,10,1.4,0.41,0.21,0.07,0.17,151,45
aquatic_tuber vegetable,Water caltrop,100,57,101,4.5,0.1,21.4,1.7,1,0,2,0,0,0.19,0.06,1.5,7,93,437,5.8,49,0.6,0.62,0,0.18,0.38,152,13
aquatic_tuber vegetable,Lotus root,100,88,73,1.9,0.2,16.4,1.2,1,0,3,0,0.73,0.09,0.03,0.3,39,58,243,44.2,19,1.4,0.23,0.39,0.11,1.3,153,44
aquatic_tuber vegetable,Water bamboo,100,74,26,1.2,0.2,5.9,1.9,0.5,0,5,0,0.99,0.02,0.03,0.5,4,36,209,5.8,8,0.4,0.33,0.45,0.06,0.49,154,5
aquatic_tuber vegetable,Water chestnut,100,78,61,1.2,0.2,14.2,1.1,0.8,0,3,0,0.65,0.02,0.02,0.7,4,44,306,15.7,12,0.6,0.34,0.7,0.07,0.11,155,7
aquatic_tuber vegetable,Yam,100,83,57,1.9,0.2,12.4,0.8,0.7,0,0,0,0.24,0.05,0.02,0.3,16,34,213,18.6,20,0.3,0.27,0.55,0.24,0.12,156,5
aquatic_tuber vegetable,Taro,100,84,81,2.2,0.2,18.1,1,0.9,0,27,0,0.45,0.06,0.05,0.7,36,55,378,33.1,23,1,0.49,1.45,0.37,0.3,157,6
 Fungi&Algae,"""Gold needle"" mushroom_thin",100,100,32,2.4,0.4,6,2.7,1,0,5,0,1.14,0.15,0.19,4.1,0,97,195,4.3,17,1.4,0.39,0.28,0.14,0.1,158,2
 Fungi&Algae,Wood ear fungus_dried,100,100,265,12.1,1.5,65.6,29.9,5.3,0,17,0,11.34,0.17,0.44,2.5,247,292,757,48.5,152,97.4,3.18,3.72,0.32,8.86,159,0
 Fungi&Algae,Shitake mushroom,100,100,26,2.2,0.3,5.2,3.3,0.6,0,0,0,0,0,0.08,2,2,53,20,1.4,11,0.3,0.66,2.58,0.12,0.25,160,1
 Fungi&Algae,Silver ear fungus_white dried,100,96,261,10,1.4,67.3,30.4,6.7,0,8,0,1.26,0.05,0.25,5.3,36,369,1588,82.1,54,4.1,3.03,2.95,0.08,0.17,161,0
 Fungi&Algae,Kelp,100,100,13,1.2,0.1,2.1,0.5,2.2,0,0,0,1.85,0.02,0.15,1.3,46,22,246,8.6,25,0.9,0.16,9.54,0,0.07,162,0
 Fungi&Algae,Kelp_dried,100,98,90,1.8,0.1,23.4,6.1,4.2,0,40,0,0.85,0.01,0.1,0.8,348,52,761,327.4,129,4.7,0.65,5.84,0.14,1.14,163,0
 Fungi&Algae,Laver_dried,100,100,250,26.7,1.1,44.1,21.6,15.4,0,228,0,1.82,0.27,1.02,7.3,264,350,1796,710.5,105,54.9,2.47,7.22,1.68,4.32,164,2
